texts,scores
Follow for more pics and quotes . Keep following . keep supporting . Bast page on instagram ~~ line,0
Life with long hair... they want your hair long but they always do this to you,0
"Bloody men are like buses- You wait for about a year And as soon as one approaches your Stop You. Look. At. Them. Flashing their indicators Offering you a ride. You're trying to read the destinations. You haven't much time to decide. If you make a mistake, there's no turning back. Jump off and you'll stand there and glaze. While the cars and taxis Lorries go by. And the minute, the hours, the days. Poem Wendy cope Art Joanna Tags; join the coot fam |leader| |My brutal ass|",0
Maybe it was a book Maybe a musician or band No matter what you like there'll be someone out there pathetic enough to judge you for it. Who are you judging? And why do you even care?,0
"(with .for.insta) ... Today is the second anniversary of the viral hashtag In the last two years so many people have stood up in their own ways to declare themselves apart of the community of million of survivors of sexual violence, including sexual harassment, causing the rest of the world to finally pay attention to this public health crisis. As we move further into the election season in the U.S. we have watched the candidates elevate a number of issues that deserve attention but we have NOT heard what their plans are to deal with SEXUAL VIOLENCE both in prevention and for those who have already experienced harm. We have not seen it raised in debates or town halls or in media discussions. Tonight, on the anniversary of the hashtag please join us in watching the Presidential debates and sharing your concerns on social media using the and Let the candidates know what you want them to address in relation to sexual violence.",0
"Ive heard it before. But hes so nice. But she has a great family. But they volunteer for so many great organizations. No one likes to think their neighbor, their co-worker, or their friend is capable of abuse. But most abusers are seemingly normal people. They probably hold a job. They have friends and a family. They have hobbies. They arent monsters that only come out at night. Theyre someones brother, mother, cousin, spouse, boss, nanny, friend, or doctor. Lets reframe the narrative that abusers are only capable of abuse. Because we all know theyre capable of having regular lives too.",0
"THE LOOK The cars back tyre keeps going down...I have been shoved in the back of the car...I sit on that side...Si kindly tells me that the tyre might keep going down because there is now ""added pressure"" there...aka ""you're fat arse is making the tyre go flat love!"" He is now digging the biggest hole and he knows this look very very well!",0
"()  ""There is no shame on you for someone else perpetrating harassment."" - Career Defense How to Stop Sexual Harassment Without Quitting Your Job.  ",0
Classy Analog Men's Watch Free Size Dial 30 mm Analog It Has 1 Piece Of Men's Watch At 280 only,0
To some people here Should I mark you? Just continue texting.,0
"We strongly condemn such acts that inculcate and toxic towards any . Even though did apologize later on, but that still doesn't justify how she belittled that . The effects of such deep-rooted are harmful to everyone. The sooner people realize that, the better. Swipe ahead to read her tweets. . . . .",0
Please dont lose your good things based on not eligible for your desire. So first confirm are you eligible for your desire.,0
"Dear God, Hear my prayer because it feels like and I'm losing my faith. I'm being Chased by my past and fear has left me Broken. God; I want to do better, I desire to be better and I'm tired of feeling this way. Please God, I need your help. I need you to restore me. Amen. . . 4 Books in 1 . . A Compilation of Christian Stories. 4 of my best sellers .. together, just for you! . . 1. Dear Hear My Prayer Jayme's story of overcoming abuse at the hands of her stepfather, Pastor James Madison. She has to find her way back to God and it all starts with her saying, ""Dear God, hear my prayer."" . . 2. Charlotte feels as though her faith is being tested when her daughter dies, suddenly. She can't make sense of the suffering, she's having to endure so it causes her to lose her faith. 3. Chased Pastor Magnolia Wright has been given an opportunity to serve God's people but she's fearful. Fearful of the thing that keeps chasing her ... Her Past. Sure, she can preach God's message, lay hands and pray for others but what happens when she's the one in need? 4. Broken Gwendolyn's heart is used to being broken, by men. It started when her dad walked out when she was 13. Then she meets Jacque and his love was the thing she needed to mend her heart. Until he broke it. Now, she finds herself spiraling and she needs help. All four of these books are written, from a place of hope and restoration. It is my prayer, you will find the courage to be healed and made whole, while not losing your faith in God.",0
Beautiful Clutch Handbags For Wedding Season. DM for Orders. . . . . . . +919988117770,0
"Were often commended for being strong and resilient, like weve achieved something wonderful to be proud of, but wouldnt it be better if we lived in a world where women arent left with no choice but to be resilient in the face of constant harassment and abuse? . More thoughts from on our Consent and Reclaiming Sex After Abuse ep  .",0
Why have a Valentines dinner with bae when you can have a galentines tapas with 3 puddings and 6 absolute babes ,0
Learn to wait . There is always time for everything         .  ,0
"ok so I was walking past one of these ""cool"" fashion stores and this one had a sweater in the window that said ""don't be a pussy"" and I got really annoyed at it and thought hey, pussies are awesome, I hate it when the word is used to mean coward. then I thought ok, calling someone a ""dick"" isn't much nicer ... in that case it would refer to someone being mean... f*ck this, I thought. and then- hey, why should ""f*cking"" mean something bad either? I want to live in a world where ""pussy"" is a complement and ""dick"" too and ""f*ck this"" would mean... lets pay some respectful joyful attention to this ^^ ... or something like that. . . .",0
"Another cell phone capture of raw footage from Holy Wound, written and directed by Josafat Concepcion and produced by KHLOARIS. Lots of blood. Coming soon! .camera .music",0
So picked up this HUGE bundle of clothes from my mummy friend tonight for baby boy!! Theres so much and im completly overwhelmed/cant wait to start putting him in bits!! Hes got so many clothes already!! In other news- The 'kids room mission' is going well this week..lots of organising and skip runs and i havent killed my husband..YET!!,0
Being at an anti quite literally *wasnt* asking for it.,0
Black  Perch il nero  il mio colore! What is the color of your soul?  ,0
Is it me..... or are men a completely different species. . . Honestly the amount of times he asks me where something is; I tell him- he then shouts its not there! . . Cue me attending to find said thing exactly just there! . . Worse than children- right? . .,0
"Wine, cheese, tarot readings, and a collaborative profiling process targeting workplace equality. We are unmasking workplace abuse and giving people tools to protect themselves at work. For FREE tickets - click the link in our bio!",0
This . . . . . . . .,0
"was crowned player of the year at Fifas The Best awards. She took the opportunity to urge people to use their voices to make changes in the game. In a powerful speech, she praised the anti-racism campaigns of fellow footballers Raheem Sterling and Kalidou Koulibaly, who have both been racially abused, and also spoke out about LGBT rights and gender equality. I ask everybody here to lend your platform, to lift people up, to use this beautiful game to change the world for better, she said.",0
The story continues LINK in BIO,0
"This is as close to a full body that yall are going to see for a while. Im VERY insecure about myself. Mentally, physically, educationally and whatever allys I forgot. They all need to be worked on. Im not too happy with myself mostly because Ive lost motivation!!!!!! Someone accidentally messaged me, and we got to talking. They said, I should try the water diet. So Im going to try it starting tomorrow. It wont be perfect I can guarantee that now but Ill get there somehow. If you guys can maybe pick a number between 1-10 and leave that in the comment down below that would be awesome!!!!!!!!!!! Anyways, my goal is to lose 30 pounds by December 21st. Do yall think that is doable ? thank you guys for the support! Also I dont send nudes! My page looks like Im loose and probs a slut but its 2019 and the word SLUT is being redefined. Leave me alone lol.",0
Everyone turns to mush around a baby. But even I dont get cackles like this from the little man lol,0
'smile lots' How about fuck off,0
"*Supper Sealing Branded T-shirt* Style - Men's Raund neke *HALF SLEEVE* Fabric - 100% Cotton single jersey bio washed GSM - 190 Color - 3 as per image Size - M, L, XL ,XXL *Price - 450/- Free Shipping* . . . . . . . . . . . . .. . . . . . . . . . ....Follow ... ... follow f",0
Hope everyone is having a good day so far and a better weekend. Enjoy,0
"Bloody men. So far today Mr Mernpunk has used all my sugar soap cleaning the kitchen, having mistaken it for the Cif... The other man in my life, Salai the devil dog has been in my painting room and ripped all the sponges apart... oh well, on we soldier. Next up, project Ludo. I feel some sleazy retro goodness coming on...",0
to the A late breakfast after a horrendous lack of sleep () and I just wanted stodge! If I got 2 hours sleep I was very lucky! So Fitzgerald's bagel slim (HeB) with 3tsp .official smooth peanut butter (4.5syns) just cos that's what I fancied! With a cup of tea...obv! (Though not really feeling my cup this morning! ) . I want and need a good result on the scales this week,0
"New Paltz Student Association presents STOP DOMESTIC VIOLENCE  In collaboration with and we are creating a safe space for all current victim, survivors and supporters for us to bridge community and challenge violence towards all people. Feel free to come as you are, tell friends, this space is welcomed to EVERYONE so matter what walk of life you come from! If you are able to , please bring any additional materials for poster making",0
