texts,scores,class
"So begin today. Each criticism that you face, take it in your stride. Dream and dream so big that the universe has no other option but make you realise them for yourself. Don't wait for the revolution, become the revolution. The world is your playground, play well and play hard. IKHTIYAAR",0,0
It's Sunday. Y'all dirty minded people should feel ashamed of yourselves. Ima pray for y'all. Happy Sunday Peoples!,0,0
Whoever decided the phrase smash your backdoors in was sexy needs a hug . . . . .,0,0
Trying to convince Adam to make me some flower boxes for the front of the house... or just buy some. Why don't men understand things like this are important? I spent the morning power washing the front of the house & now I need flower boxes like these.....,1,2
i wore this dress last year but now its too short....,0,0
Double standards can exist anywhere. Lets fix that. Start the conversation in the comments section below. Check out our Instagram bio to download our full set of gifs and stickers for Telegram.,0,0
"Before Sarah lost her phone, purse & memory    ",0,0
"Women have to work much harder to make it in this world. It really pisses me off that women dont get the same opportunities as men do, or money for that matter. Because lets face it, money gives men the power to run the show. It gives men the power to define our values and to define whats sexy and whats feminine, and thats bullshit. At the end of the day, its not about equal rights, its about how we think. We have to reshape our own perception of how we view ourselves. - Beyonce",1,2
my biooz BNTGU JC SUD IGBOA RMH FETN BTPKJ CBMQK JM OOX UMIDV YQD HMUP DVVNY TMKIQ YT TXO VQKZI MNC CEGV KEOTF DNRXV,0,0
"Whenever my daughter and I talk about marriage, I always make sure we talk about the fact that boys can marry boys and girls can marry girls. She loves to act out the bride walking down the aisle with a veil and flowers. But this quote is right.... it shouldnt be seen as an achievement for women (and not necessarily for men). Something for me to think about and make sure I have the same conversations with my sons when theyre a bit older, or rather change how I talk to my daughter about it.",1,2
